Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE,Median AE
2,ª,§,0.0,0.0,0.0,2682584,48928.6272353,,2633655.3727646759,2633655.3727646759
2,§,§,1.0,1.0,1.0,5340,48930.2075336,,43590.207533588327,43590.207533588327
2,§,§,1.0,1.0,1.0,1722764,48930.2075336,,1673833.7924664116,1673833.7924664116
2,©,§,0.0,0.0,0.0,8,4987.17379515,,4979.1737951486584,4979.1737951486584
2,§,§,1.0,1.0,1.0,2358637,48992.8873229,,2309644.1126771006,2309644.1126771006
2,§,§,1.0,1.0,1.0,597693,74539.4246679,,523153.57533210807,523153.57533210807
2,ª,§,0.0,0.0,0.0,14,48977.110141,,48963.110141046724,48963.110141046724
2,§,§,1.0,1.0,1.0,17,48929.140026,,48912.140025985442,48912.140025985442
2,§,§,1.0,1.0,1.0,665908,48953.3895416,,616954.61045840709,616954.61045840709
2,ª,§,0.0,0.0,0.0,9199,108503.098207,,99304.098206693568,99304.098206693568
2,ª,§,0.0,0.0,0.0,33,119294.535789,,119261.53578933854,119261.53578933854
2,ª,§,0.0,0.0,0.0,61,45748.2769788,,45687.276978849266,45687.276978849266
2,§,§,1.0,1.0,1.0,2868,72870.1846374,,70002.184637423386,70002.184637423386
2,§,§,1.0,1.0,1.0,2644,48931.4588718,,46287.458871805604,46287.458871805604
2,§,§,1.0,1.0,1.0,775092,48925.9568538,,726166.04314623226,726166.04314623226
2,§,§,1.0,1.0,1.0,279303,137956.452145,,141346.54785473985,141346.54785473985
2,§,§,1.0,1.0,1.0,26,48926.2342122,,48900.234212238618,48900.234212238618
2,§,§,1.0,1.0,1.0,69291,120135.241565,,50844.241565438802,50844.241565438802
2,§,§,1.0,1.0,1.0,84734,64676.9444567,,20057.055543349757,20057.055543349757
2,§,§,1.0,1.0,1.0,349245,48983.1765513,,300261.8234486783,300261.8234486783
2,§,§,1.0,1.0,1.0,425734,48944.955909,,376789.04409097967,376789.04409097967
3,§,ª,0.0,0.0,0.0,339338,27016.8791009,,312321.12089911621,312321.12089911621
3,§,,0.0,0.0,0.0,5,0.0,,5.0,5.0
3,ª,§,0.0,0.0,0.0,61,80260.0785831,,80199.078583098686,80199.078583098686
3,§,§,1.0,1.0,1.0,258070,84924.8094492,,173145.19055077247,173145.19055077247
3,§,§,1.0,1.0,1.0,664264,86868.705318,,577395.29468200565,577395.29468200565
3,©,§,0.0,0.0,0.0,853442,97531.3647176,,755910.63528239122,755910.63528239122
3,§,,0.0,0.0,0.0,1,0.0,,1.0,1.0
4,©,§,0.0,0.0,0.0,863713,36449.9535726,,827263.04642740893,827263.04642740893
4,©,,0.0,0.0,0.0,274828,0.0,,274828.0,274828.0
4,§,§,1.0,1.0,1.0,14,8145.24345865,,8131.2434586492527,8131.2434586492527
5,§,§,1.0,1.0,1.0,20,0.0,,20.0,20.0
5,ª,§,0.0,0.0,0.0,505,13185.5160817,,12680.516081745856,12680.516081745856
6,§,©,0.0,0.0,0.0,776538,50700.3221949,,725837.67780511838,725837.67780511838
