Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE,Median AE
2,ᾚ,ᾚ,1.0,1.0,1.0,0,-1362.54866909,,1362.548669085824,1362.548669085824
2,ⅼ,ⅼ,1.0,1.0,1.0,0,-587.426719011,,587.42671901146093,587.42671901146093
2,ᘁ,ᘁ,1.0,1.0,1.0,0,-1803.08881637,,1803.088816367442,1803.088816367442
2,ᾚ,ᾚ,1.0,1.0,1.0,0,-1378.86743834,,1378.8674383447296,1378.8674383447296
2,⚉,ᘁ,0.0,0.0,0.0,-3563311,-1803.08881637,,3561507.9111836324,3561507.9111836324
2,ᘁ,ᘁ,1.0,1.0,1.0,0,-1803.17105791,,1803.1710579100052,1803.1710579100052
2,ᾚ,ᾚ,1.0,1.0,1.0,0,-1383.93676467,,1383.9367646721669,1383.9367646721669
2,⚉,ᘁ,0.0,0.0,0.0,-3561004,-1803.17105791,,3559200.8289420898,3559200.8289420898
2,ᘁ,ᘁ,1.0,1.0,1.0,0,-858.559083475,,858.5590834746888,858.5590834746888
2,ᘁ,ᘁ,1.0,1.0,1.0,-1,-1803.08881637,,1802.088816367442,1802.088816367442
2,ᘁ,ᘁ,1.0,1.0,1.0,-1,-858.559083475,,857.5590834746888,857.5590834746888
3,ᢧ,ᢧ,1.0,1.0,1.0,0,-1039.80814831,,1039.8081483082076,1039.8081483082076
3,៉,៉,1.0,1.0,1.0,0,-0.0,,0.0,0.0
3,ӂ,ӂ,1.0,1.0,1.0,0,-1933.46548667,,1933.4654866697183,1933.4654866697183
3,ᢧ,ᢧ,1.0,1.0,1.0,0,-1047.93100075,,1047.9310007502988,1047.9310007502988
3,ᘁ,ჳ,0.0,0.0,0.0,3563311,-0.0,,3563311.0,3563311.0
3,ӂ,ӂ,1.0,1.0,1.0,1,-1933.52407936,,1934.5240793566948,1934.5240793566948
3,ᢧ,ᢧ,1.0,1.0,1.0,0,-1050.44130912,,1050.4413091224428,1050.4413091224428
3,ᘁ,ჳ,0.0,0.0,0.0,3561004,-0.0,,3561004.0,3561004.0
3,೷,೷,1.0,1.0,1.0,0,-0.0,,0.0,0.0
3,ӂ,ӂ,1.0,1.0,1.0,1,-1933.53943346,,1934.5394334644266,1934.5394334644266
3,೷,೷,1.0,1.0,1.0,1,-0.0,,1.0,1.0
4,ⅼ,ⅼ,1.0,1.0,1.0,0,-0.0,,0.0,0.0
4,ᔛ,ᔛ,1.0,1.0,1.0,0,-2412.76690244,,2412.7669024361639,2412.7669024361639
4,ჳ,ჳ,1.0,1.0,1.0,-60,-3033.21386551,,2973.2138655127505,2973.2138655127505
4,ⅼ,ⅼ,1.0,1.0,1.0,0,-0.0,,0.0,0.0
4,ӂ,᮪,0.0,0.0,0.0,0,-0.0,,0.0,0.0
4,ჳ,ჳ,1.0,1.0,1.0,-198331,-3033.20045273,,195297.79954727102,195297.79954727102
4,ⅼ,ⅼ,1.0,1.0,1.0,0,-0.0,,0.0,0.0
4,ӂ,᮪,0.0,0.0,0.0,1,-0.0,,1.0,1.0
4,ӂ,ӂ,1.0,1.0,1.0,1,-19.0926675107,,20.092667510694781,20.092667510694781
4,ჳ,ჳ,1.0,1.0,1.0,-376736,-3033.19621711,,373702.80378288694,373702.80378288694
4,ӂ,ӂ,1.0,1.0,1.0,1,-19.1759679572,,20.175967957239497,20.175967957239497
5,ᒂ,ᒂ,1.0,1.0,1.0,-1,-0.0,,1.0,1.0
5,ࡕ,ࡕ,1.0,1.0,1.0,0,-6407.70048335,,6407.7004833513529,6407.7004833513529
5,ᒂ,ᒂ,1.0,1.0,1.0,-1,-0.0,,1.0,1.0
5,ჳ,,0.0,0.0,0.0,-4168112,-0.0,,4168112.0,4168112.0
5,ᒂ,ᒂ,1.0,1.0,1.0,0,-0.0,,0.0,0.0
5,ჳ,,0.0,0.0,0.0,-4165805,-0.0,,4165805.0,4165805.0
5,ჳ,ჳ,1.0,1.0,1.0,-143,-4759.14934943,,4616.1493494320866,4616.1493494320866
6,៉,៉,1.0,1.0,1.0,1,-780.494211183,,781.49421118250791,781.49421118250791
6,៉,៉,1.0,1.0,1.0,1,-774.962143815,,775.96214381515495,775.96214381515495
6,៉,៉,1.0,1.0,1.0,0,-773.279898357,,773.27989835654432,773.27989835654432
6,ᆙ,ᆙ,1.0,1.0,1.0,142,-0.0,,142.0,142.0
7,ᔛ,ᔛ,1.0,1.0,1.0,-323,-0.0,,323.0,323.0
7,ᔛ,ᔛ,1.0,1.0,1.0,-103,-0.0,,103.0,103.0
7,ᔛ,ᔛ,1.0,1.0,1.0,-33,-0.0,,33.0,33.0
7,᮪,᮪,1.0,1.0,1.0,0,-121.517449413,,121.51744941329996,121.51744941329996
8,ࡕ,ࡕ,1.0,1.0,1.0,323,-4292.55460496,,4615.5546049596514,4615.5546049596514
8,ࡕ,ࡕ,1.0,1.0,1.0,103,-4296.98929483,,4399.9892948341758,4399.9892948341758
8,ࡕ,ࡕ,1.0,1.0,1.0,33,-4298.41740334,,4331.4174033372256,4331.4174033372256
9,྆,྆,1.0,1.0,1.0,-1,-2931.08840047,,2930.088400468916,2930.088400468916
9,྆,྆,1.0,1.0,1.0,-1,-2927.85662552,,2926.856625517376,2926.856625517376
9,྆,྆,1.0,1.0,1.0,0,-2926.8774923,,2926.8774923024821,2926.8774923024821
