Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE,Median AE
2,򃸴,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򃸤,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򃸮,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򈰬,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򈱘,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򈱜,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򈰹,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򈱃,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򈱠,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򜒢,,0.0,0.0,0.0,-16715,0.0,,16715.0,16715.0
2,򈱖,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򒡦,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򗚛,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򗚐,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򗚟,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򡋇,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򦃧,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,򯴢,,0.0,0.0,0.0,-38,0.0,,38.0,38.0
2,󃖢,,0.0,0.0,0.0,-2524,0.0,,2524.0,2524.0
2,󃖤,,0.0,0.0,0.0,-2478,0.0,,2478.0,2478.0
2,󃖦,,0.0,0.0,0.0,-606,0.0,,606.0,606.0
2,󃖨,,0.0,0.0,0.0,-306,0.0,,306.0,306.0
2,󈏂,,0.0,0.0,0.0,604802,0.0,,604802.0,604802.0
2,󈏄,,0.0,0.0,0.0,604801,0.0,,604801.0,604801.0
2,󈏆,,0.0,0.0,0.0,604801,0.0,,604801.0,604801.0
2,󃗆,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,󖸢,,0.0,0.0,0.0,3084972,0.0,,3084972.0,3084972.0
2,󒀆,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,󖸨,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,󛱏,,0.0,0.0,0.0,1,0.0,,1.0,1.0
2,󛱎,,0.0,0.0,0.0,1,0.0,,1.0,1.0
2,󛱐,,0.0,0.0,0.0,1,0.0,,1.0,1.0
2,󠩮,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,󠩧,,0.0,0.0,0.0,0,0.0,,0.0,0.0
2,󠩻,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򃸵,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򃸥,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򃸯,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򈰭,,0.0,0.0,0.0,1,0.0,,1.0,1.0
3,򈱙,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򈱝,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򈰺,,0.0,0.0,0.0,1,0.0,,1.0,1.0
3,򈱄,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򈱡,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򜒤,,0.0,0.0,0.0,16715,0.0,,16715.0,16715.0
3,򗚜,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򗚑,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򗚠,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򡋈,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򦃨,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,򯴤,,0.0,0.0,0.0,38,0.0,,38.0,38.0
3,󃖸,,0.0,0.0,0.0,2524,0.0,,2524.0,2524.0
3,󃖿,,0.0,0.0,0.0,2478,0.0,,2478.0,2478.0
3,󃖪,,0.0,0.0,0.0,606,0.0,,606.0,606.0
3,󃖱,,0.0,0.0,0.0,306,0.0,,306.0,306.0
3,󃗇,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,󠩯,,0.0,0.0,0.0,1,0.0,,1.0,1.0
3,󠩨,,0.0,0.0,0.0,0,0.0,,0.0,0.0
3,󠩼,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򃸶,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򃸦,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򃸰,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򈰮,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򈱚,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򈱞,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򈰻,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򈱅,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򈱢,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򜒥,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򗚝,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򗚒,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򗚡,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򡋉,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򦃩,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,򯴥,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,󃖹,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,󃗀,,0.0,0.0,0.0,1,0.0,,1.0,1.0
4,󃖫,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,󃖲,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,󃗈,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,󠩰,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,󠩩,,0.0,0.0,0.0,0,0.0,,0.0,0.0
4,󠩽,,0.0,0.0,0.0,1,0.0,,1.0,1.0
5,򃸧,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,򃸱,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,򈰼,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,򈱆,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,򜒦,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,򗚓,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,򯴦,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,󃖺,,0.0,0.0,0.0,1,0.0,,1.0,1.0
5,󃗁,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,󃖬,,0.0,0.0,0.0,1,0.0,,1.0,1.0
5,󃖳,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,󃗉,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,󠩪,,0.0,0.0,0.0,0,0.0,,0.0,0.0
5,󠩾,,0.0,0.0,0.0,0,0.0,,0.0,0.0
6,󃖻,,0.0,0.0,0.0,-1,0.0,,1.0,1.0
6,󃗂,,0.0,0.0,0.0,0,0.0,,0.0,0.0
6,󃖭,,0.0,0.0,0.0,0,0.0,,0.0,0.0
6,󃖴,,0.0,0.0,0.0,0,0.0,,0.0,0.0
6,󃗊,,0.0,0.0,0.0,0,0.0,,0.0,0.0
6,󠩫,,0.0,0.0,0.0,0,0.0,,0.0,0.0
7,󃖼,,0.0,0.0,0.0,1,0.0,,1.0,1.0
7,󃗃,,0.0,0.0,0.0,0,0.0,,0.0,0.0
7,󃖮,,0.0,0.0,0.0,0,0.0,,0.0,0.0
7,󃖵,,0.0,0.0,0.0,0,0.0,,0.0,0.0
7,󃗋,,0.0,0.0,0.0,0,0.0,,0.0,0.0
7,󠩬,,0.0,0.0,0.0,0,0.0,,0.0,0.0
8,󃖽,,0.0,0.0,0.0,0,0.0,,0.0,0.0
8,󃗄,,0.0,0.0,0.0,0,0.0,,0.0,0.0
8,󃖯,,0.0,0.0,0.0,0,0.0,,0.0,0.0
8,󃖶,,0.0,0.0,0.0,0,0.0,,0.0,0.0
