Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE,Median AE
2,ª§,§,0.5,0.5,0.5,3021922,84985.590779922248,,2936936.4092200776,2936936.4092200776
2,§,§,1.0,1.0,1.0,5340,100730.07042025565,,95390.070420255652,95390.070420255652
2,§,§,1.0,1.0,1.0,1722764,91521.839485410674,,1631242.1605145894,1631242.1605145894
2,©§,§,0.5,0.5,0.5,13,0.0,,13.0,13.0
2,§,§,1.0,1.0,1.0,2358637,87753.703595626546,,2270883.2964043734,2270883.2964043734
2,§,§,1.0,1.0,1.0,597693,159655.93635769127,,438037.0636423087,438037.0636423087
2,ªª©§,§,0.25,0.25,0.33333333333333326,863808,86955.414872809328,,776852.58512719069,776852.58512719069
2,§,§,1.0,1.0,1.0,17,127949.51474742053,,127932.51474742053,127932.51474742053
2,§,§,1.0,1.0,1.0,665908,120375.20241286194,,545532.79758713802,545532.79758713802
2,ª§,§,0.5,0.5,0.5,267269,188260.71648357119,,79008.283516428812,79008.283516428812
2,ª§©ª§,§,0.19999999999999996,0.19999999999999996,0.33333333333333326,1716168,211121.94142407281,,1505046.0585759273,1505046.0585759273
2,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,853517,135366.50180911331,,718150.49819088669,718150.49819088669
2,§,§,1.0,1.0,1.0,2868,134500.33713638285,,131632.33713638285,131632.33713638285
2,§,§,1.0,1.0,1.0,2644,90120.883745804982,,87476.883745804982,87476.883745804982
2,§,§,1.0,1.0,1.0,775092,88457.959933111168,,686634.04006688879,686634.04006688879
2,§,§,1.0,1.0,1.0,279303,242886.20287371002,,36416.797126289981,36416.797126289981
2,§,§,1.0,1.0,1.0,26,100918.82890507762,,100892.82890507762,100892.82890507762
2,§,§,1.0,1.0,1.0,69291,215216.90197442184,,145925.90197442184,145925.90197442184
2,§§,§,0.5,0.5,1.0,84735,104859.83040207565,,20124.830402075648,20124.830402075648
2,§,§,1.0,1.0,1.0,349245,116791.37272769686,,232453.62727230316,232453.62727230316
2,§,§,1.0,1.0,1.0,425734,101576.24247843515,,324157.75752156484,324157.75752156484
3,§,ª©©§,0.25,0.25,0.33333333333333326,339338,279977.02906632482,,59360.970933675184,59360.970933675184
3,§,,0.0,0.0,0.0,5,0,,5.0,5.0
3,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,863794,137217.4903924723,,726576.50960752764,726576.50960752764
3,§,§,1.0,1.0,1.0,258070,143226.4424184513,,114843.5575815487,114843.5575815487
3,§©ª§,§,0.25,0.25,0.33333333333333326,1716135,181259.00263743204,,1534875.997362568,1534875.997362568
3,©§,§,0.5,0.5,0.5,853456,161485.87469671929,,691970.12530328077,691970.12530328077
3,§,,0.0,0.0,0.0,1,0,,1.0,1.0
4,©§,§,0.5,0.5,0.5,863733,68337.753152928359,,795395.24684707168,795395.24684707168
4,©ª§,,0.0,0.0,0.0,1051871,0,,1051871.0,1051871.0
4,§,§,1.0,1.0,1.0,14,10270.558922402806,,10256.558922402806,10256.558922402806
5,§,§,1.0,1.0,1.0,20,0.0,,20.0,20.0
5,ª§,§,0.5,0.5,0.5,777043,23460.023932247921,,753582.97606775211,753582.97606775211
6,§,©§,0.5,0.5,0.5,776538,110169.15322085752,,666368.84677914251,666368.84677914251
