Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE,Median AE
2,𷋅󟢱񤙒,,0.0,0.0,0.0,0,0,,0.0,0.0
2,񖻹󦀵񛧑񋕜,,0.0,0.0,0.0,0,0,,0.0,0.0
2,񛧑𓄊񖻹󦀵,,0.0,0.0,0.0,0,0,,0.0,0.0
2,󟢱𷋅񤙒,󟢱,0.33333333333333337,0.33333333333333337,0.33333333333333326,1,4761.0091296155315,,4760.0091296155315,4760.0091296155315
2,󟢱񤙒񵎏,󟢱,0.33333333333333337,0.33333333333333337,0.33333333333333326,0,4861.5121548671568,,4861.5121548671568,4861.5121548671568
2,𷋅񵎏󟢱,,0.0,0.0,0.0,0,0,,0.0,0.0
2,𡃫𓄊񋕜񛧑,,0.0,0.0,0.0,1,0,,1.0,1.0
2,񋕜𓄊𡃫񖻹,,0.0,0.0,0.0,0,0,,0.0,0.0
2,񤙒𷋅񵎏,,0.0,0.0,0.0,0,0,,0.0,0.0
2,񤙒񵎏𷋅󟢱,󟢱񤙒񤙒,0.0,0.0,0.5,16715,7763.3853187578197,,8951.6146812421794,8951.6146812421794
2,򺍳,,0.0,0.0,0.0,0,0,,0.0,0.0
2,򔜴,,0.0,0.0,0.0,0,0,,0.0,0.0
2,󟢱񤙒񵎏,󟢱,0.33333333333333337,0.33333333333333337,0.33333333333333326,0,5143.5173316752143,,5143.5173316752143,5143.5173316752143
2,𓄊񖻹񋕜󦀵,,0.0,0.0,0.0,0,0,,0.0,0.0
2,𷋅󟢱񤙒,󟢱,0.33333333333333337,0.33333333333333337,0.33333333333333326,0,5074.9672074891678,,5074.9672074891678,5074.9672074891678
2,󟢱񤙒𷋅,󟢱,0.33333333333333337,0.33333333333333337,0.33333333333333326,0,4710.7519827804326,,4710.7519827804326,4710.7519827804326
2,𷋅񤙒󟢱,󟢱,0.33333333333333337,0.33333333333333337,0.33333333333333326,0,4586.2558939828341,,4586.2558939828341,4586.2558939828341
2,񤙒󟢱񵎏𷋅,󟢱񤙒񤙒,0.25,0.25,0.5,38,9361.2649501733995,,9323.2649501733995,9323.2649501733995
2,򙧏󟢱񵎏򓒷򤫉񤙒𨲪,󟢱񤙒񤙒,0.2857142857142857,0.2857142857142857,0.2857142857142857,2525,6801.2164465867763,,4276.2164465867763,4276.2164465867763
2,󟢱񵎏򤫉񤙒𨲪򓒷򙧏,󟢱񤙒񤙒,0.2857142857142857,0.2857142857142857,0.2857142857142857,2479,6797.1170175799934,,4318.1170175799934,4318.1170175799934
2,񵎏򓒷󟢱򤫉𨲪򙧏񤙒,󟢱񤙒񤙒,0.2857142857142857,0.2857142857142857,0.2857142857142857,607,6671.0626365139788,,6064.0626365139788,6064.0626365139788
2,񤙒󟢱򤫉򓒷𨲪񵎏򙧏,󟢱񤙒񤙒,0.1428571428571429,0.1428571428571429,0.2857142857142857,306,6649.5188287549299,,6343.5188287549299,6343.5188287549299
2,𩞉,,0.0,0.0,0.0,604802,0,,604802.0,604802.0
2,𩞉,,0.0,0.0,0.0,604801,0,,604801.0,604801.0
2,𩞉,,0.0,0.0,0.0,604801,0,,604801.0,604801.0
